type,fixed acidity,good wine,pH,free sulfur dioxide,density,citric acid,residual sugar,total sulfur dioxide,volatile acidity,sulphates,alcohol,chlorides,quality
0,7.4,False,2.94,26,0.9961,0.3,8.8,103,0.18,0.56,9.3,0.064,5
0,6.7,False,3.27,21,0.9949,0.28,5.4,105,0.54,0.37,9,0.06,5
0,6.8,True,3.39,34,0.9929,0.31,1.4,114,0.22,0.77,10.6,0.053,6
0,7.1,True,3.21,51,0.9985,0.34,16,166,0.2,0.6,9.2,0.05,6
0,7.1,False,3.17,47,0.9946,0.2,6.1,164,0.34,0.42,10,0.063,5
0,7.3,True,3.33,42,0.9966,0.3,8.2,207,0.22,0.46,9.5,0.047,6
0,7.1,False,3.11,54,0.9974,0.61,11.8,155,0.43,0.45,8.7,0.045,5
0,7.1,True,3.12,52,0.9975,0.62,11.8,152,0.44,0.46,8.7,0.044,6
0,7.2,True,3.09,55,0.9974,0.63,11,156,0.39,0.44,8.7,0.044,6
0,6.8,True,3.22,69,0.9972,0.31,13.3,202,0.25,0.48,9.7,0.05,6
0,7.1,False,3.11,54,0.9974,0.61,11.8,155,0.43,0.45,8.7,0.045,5
0,7.1,True,3.12,52,0.9975,0.62,11.8,152,0.44,0.46,8.7,0.044,6
0,7.2,True,3.09,55,0.9974,0.63,11,156,0.39,0.44,8.7,0.044,6
0,6.1,False,3.12,65,0.9957,0.43,7.5,243,0.27,0.47,9,0.049,5
0,6.9,True,3.26,47,0.99,0.33,1.7,136,0.24,0.4,12.6,0.035,7
0,6.9,True,3.25,48,0.9899,0.33,1.8,136,0.21,0.41,12.6,0.034,7
0,7.5,True,3.21,51,0.9916,0.32,1.7,148,0.17,0.44,11.5,0.04,7
0,7.1,True,3.04,62,0.9969,0.29,12.4,240,0.26,0.42,9.2,0.044,6
0,6,True,3.14,26,0.9979,0.66,15.9,164,0.34,0.5,8.8,0.046,6
0,8.6,True,2.95,15,0.9913,0.36,1.2,80,0.265,0.36,11.4,0.034,7
0,9.8,False,2.89,4,0.9956,0.46,10.5,83,0.36,0.3,10.1,0.038,4
0,6,True,3.14,26,0.9979,0.66,15.9,164,0.34,0.5,8.8,0.046,6
0,7.4,False,3,52,0.9975,0.37,13.5,192,0.25,0.44,9.1,0.06,5
0,7.1,False,3.4,64,0.9962,0.32,9.6,162,0.12,0.41,9.4,0.054,5
0,6,False,3.34,55,0.997,0.24,12.1,164,0.21,0.39,9.4,0.05,5
0,7.5,False,2.99,44,1,0.4,18.9,170,0.305,0.46,9,0.059,5
0,7.4,False,3,52,0.9975,0.37,13.5,192,0.25,0.44,9.1,0.06,5
0,7.3,True,3.2,34,0.9974,0.32,14.4,109,0.13,0.35,9.2,0.051,6
0,7.1,False,3.4,64,0.9962,0.32,9.6,162,0.12,0.41,9.4,0.054,5
0,7.1,True,3.16,60,0.999,0.35,16.5,171,0.23,0.59,9.1,0.04,6
0,7.1,True,3.16,60,0.999,0.35,16.5,171,0.23,0.59,9.1,0.04,6
0,6.9,False,3.27,37,0.9927,0.28,1.3,187,0.33,0.6,10.3,0.051,5
0,6.5,True,2.89,64,0.9959,0.54,8.5,163,0.17,0.39,8.8,0.082,6
0,7.2,False,3.04,45,1,0.46,18.75,255,0.27,0.52,8.9,0.052,5
0,7.2,False,3.01,68,0.9982,0.5,13.3,195,0.31,0.47,9.2,0.056,5
0,6.7,False,3.22,29,0.9968,0.34,9.2,150,0.41,0.51,9.1,0.049,5
0,6.7,False,3.22,29,0.9968,0.34,9.2,150,0.41,0.51,9.1,0.049,5
0,5.5,False,3.63,8,0.994,0,1.5,103,0.485,0.4,9.7,0.065,4
0,6,True,3.31,25,0.9914,0.24,3.3,143,0.31,0.44,11.3,0.041,6
0,7,True,3.19,16,0.9911,0.4,1.7,85,0.14,0.42,11.8,0.035,6
0,7.2,False,3.01,68,0.9982,0.5,13.3,195,0.31,0.47,9.2,0.056,5
0,7.3,False,3.04,57,0.9982,0.48,13.3,196,0.32,0.5,9.2,0.06,5
0,5.9,False,3.22,21,0.9934,0.04,5.7,87,0.36,0.51,10.2,0.046,5
0,7.8,False,3.01,42,0.9984,0.32,12.2,138,0.24,0.54,8.8,0.054,5
0,7.4,False,3.29,31,0.9952,0.31,6.85,131,0.16,0.34,9.7,0.059,5
0,6.9,True,3.29,14,0.9952,0.28,5,146,0.19,0.36,9.1,0.058,6
0,6.4,True,3.21,40,0.9928,0.47,1.6,158,0.13,0.36,9.8,0.092,6
0,6.7,True,3.27,63,0.9912,0.36,1.1,143,0.19,0.48,11,0.026,6
0,7.4,False,3.14,29,0.994,0.23,7,126,0.39,0.42,10.5,0.033,5
0,6.5,True,3.45,48,0.9958,0.32,7.6,203,0.24,0.54,9.7,0.038,7
0,6.1,True,3.3,47,0.9924,0.56,2.8,179,0.3,0.57,10.9,0.044,7
0,6.1,True,3.31,46,0.9924,0.56,2.7,184,0.3,0.57,10.9,0.046,6
0,5.7,False,3.39,7,0.994,0.25,10.4,57,0.26,0.37,10.6,0.02,5
0,6.5,True,3.45,48,0.9958,0.32,7.6,203,0.24,0.54,9.7,0.038,7
0,6.5,False,3.23,59,0.9979,0.4,13.1,241,0.425,0.57,9,0.038,5
0,6.6,False,3.24,46,0.9982,0.27,15.8,188,0.24,0.51,9.2,0.035,5
0,6.8,False,3.19,55,0.9961,0.22,8.1,203,0.27,0.52,8.9,0.034,5
0,6.7,False,3.26,44,0.9979,0.31,15.7,179,0.27,0.56,9.6,0.036,5
0,8.2,True,3.12,36,0.992,0.4,1.2,121,0.23,0.38,10.7,0.027,6
0,7.1,False,3.16,49,0.9975,0.67,10.5,155,0.37,0.44,8.7,0.045,5
0,6.8,True,3.15,30,0.9917,0.36,1.9,96,0.19,0.54,10.8,0.035,7
0,8.1,True,3.23,18,0.9923,0.39,1.9,79,0.28,0.52,11.8,0.029,6
0,6.3,False,3.3,20,0.9927,0.34,2.2,77,0.31,0.43,10.2,0.045,5
0,7.1,False,3.16,49,0.9975,0.67,10.5,155,0.37,0.44,8.7,0.045,5
0,7.9,True,3.21,38,0.992,0.4,1.2,107,0.21,0.54,10.8,0.039,6
0,8.5,True,3.18,24,0.9947,0.41,4.3,99,0.21,0.53,9.7,0.036,6
0,8.1,True,3.12,19,0.9921,0.4,2,87,0.2,0.54,11.2,0.037,6
0,6.3,True,3,37,0.9905,0.37,1.1,114,0.255,0.39,10.9,0.04,6
0,5.6,True,3.28,53,0.9918,0.27,1.4,168,0.16,0.37,10.1,0.044,6
0,6.4,False,3.38,15,0.9951,0.14,5.2,97,0.595,0.36,9,0.058,4
0,6.3,True,3.38,19,0.9917,0.33,4.6,80,0.34,0.58,12,0.034,7
0,6.9,True,2.99,23,0.994,0.3,4.1,116,0.25,0.38,9.4,0.054,6
0,7.9,True,3.12,46,0.9934,0.38,8,152,0.22,0.32,11.5,0.043,7
0,7.6,True,3.14,58,0.9968,0.46,10.2,135,0.18,0.43,9.9,0.055,6
0,6.9,True,2.99,23,0.994,0.3,4.1,116,0.25,0.38,9.4,0.054,6
0,7.2,False,3.14,41,0.9919,0.41,1.2,97,0.18,0.45,10.4,0.048,5
0,8.2,True,3.06,12,0.9966,0.4,7.5,76,0.23,0.84,9.7,0.049,6
0,7.4,True,2.89,48,0.9979,0.42,14,198,0.24,0.42,8.9,0.066,6
0,7.4,True,2.89,48,0.9979,0.42,14,198,0.24,0.42,8.9,0.066,6
0,6.1,True,3.29,38,0.9898,0.24,1.5,124,0.32,0.42,12.4,0.036,7
0,5.2,True,3.36,43,0.9894,0.04,1.4,119,0.44,0.33,12.1,0.036,8
0,5.2,True,3.36,43,0.9894,0.04,1.4,119,0.44,0.33,12.1,0.036,8
0,6.1,True,3.29,38,0.9898,0.24,1.5,124,0.32,0.42,12.4,0.036,7
0,6.4,False,2.98,27,0.998,0.56,14.5,159,0.22,0.4,9.1,0.055,5
0,6.3,False,3.28,14,0.9932,0.3,4.8,85,0.36,0.39,10.6,0.049,5
0,7.4,True,2.89,48,0.9979,0.42,14,198,0.24,0.42,8.9,0.066,6
0,6.7,False,3.15,64,0.997,0.35,13.1,205,0.24,0.5,9.5,0.05,5
0,7,False,3.16,72,0.9972,0.36,13,177,0.23,0.49,9.8,0.051,5
0,8.4,True,3.14,39,0.9974,0.46,8.7,197,0.27,0.59,9.6,0.048,6
0,6.7,True,3.08,25,0.9896,0.18,2.4,98,0.46,0.44,12.6,0.034,7
0,7.5,False,3.08,20,0.9968,0.31,8.95,151,0.29,0.54,9.3,0.055,5
0,9.8,False,2.87,5,0.9958,0.48,9.85,110,0.42,0.29,10,0.034,5
0,7.1,True,3.12,29,0.9906,0.46,1.5,133,0.3,0.54,12.7,0.066,6
0,7.9,True,3.13,17,0.9917,0.45,1.5,96,0.19,0.39,11,0.045,6
0,7.6,False,3.03,4,0.9902,0.37,0.8,100,0.48,0.39,11.4,0.037,4
0,6.3,True,3.35,31,0.9918,0.43,4.55,130,0.22,0.33,11.5,0.038,7
0,7.5,False,3.09,33,0.999,0.31,17.7,173,0.27,0.64,10.2,0.051,5
0,6.9,True,3.11,50,0.9927,0.4,7.5,151,0.23,0.27,11.4,0.04,6
0,7.2,False,3.03,19,0.991,0.47,5.1,65,0.32,0.41,12.6,0.044,4
0,5.9,False,3.28,57,0.9972,0.3,12.9,170,0.23,0.39,9.4,0.054,5
0,6,False,3.11,9,0.9931,0.07,1.2,108,0.67,0.35,8.7,0.06,4
0,6.4,True,3.19,41,0.995,0.32,5.5,176,0.25,0.68,9.2,0.049,6
0,6.4,True,3.19,42,0.9951,0.31,5.5,173,0.33,0.66,9.3,0.048,6
0,7.1,False,3.09,61,0.9936,0.15,1.2,183,0.34,0.43,9.2,0.053,5
0,6.8,False,2.93,48,1.001,0.4,22,167,0.28,0.5,8.7,0.048,5
0,6.9,True,3.18,64,0.9979,0.4,14,227,0.27,0.58,9.6,0.05,6
0,6.8,False,3.02,64,0.997,0.56,11.9,226,0.26,0.63,9.3,0.043,5
0,6.8,False,3.02,66,0.9972,0.56,11.9,230,0.29,0.63,9.3,0.043,5
0,6.7,True,3.12,49,0.9954,0.41,9.4,166,0.24,0.61,9.9,0.04,6
0,5.9,False,3.15,42,0.9924,0.23,4.2,119,0.3,0.5,11,0.038,5
0,6.8,True,3.26,26,0.9906,0.35,3.8,109,0.53,0.57,12.7,0.034,8
0,6.5,False,3.09,54,0.9962,0.28,8.5,210,0.28,0.54,8.9,0.047,4
0,6.6,True,3.09,55,0.9962,0.28,8.5,211,0.28,0.55,8.9,0.052,6
0,6.8,False,2.93,48,1.001,0.4,22,167,0.28,0.5,8.7,0.048,5
0,6.8,True,3.02,28,0.9928,0.36,8,123,0.28,0.37,11.4,0.045,6
0,6.6,False,3.36,34,0.9942,0.34,5.1,125,0.15,0.42,9.6,0.055,5
0,6.4,False,3.02,75,0.9942,0.44,3.6,181,0.29,0.41,9.1,0.2,5
0,6.4,True,3.02,76,0.9942,0.45,3.5,180,0.3,0.39,9.1,0.197,6
0,6.4,False,3.01,75,0.9942,0.44,3.6,183,0.29,0.38,9.1,0.197,5
0,6.8,False,3.13,54,0.9961,0.24,7.8,214,0.26,0.47,8.9,0.052,5
0,7.1,False,3.1,52,0.998,0.24,13.1,204,0.32,0.49,8.8,0.05,5
0,6.8,False,3.13,54,0.9961,0.24,7.8,214,0.26,0.47,8.9,0.052,5
0,6.8,False,3.15,55,0.9984,0.26,16.1,196,0.27,0.5,9.3,0.049,5
0,7.1,False,3.1,52,0.998,0.24,13.1,204,0.32,0.49,8.8,0.05,5
0,6.9,False,3.2,53,0.9973,0.32,13.2,236,0.54,0.5,9.6,0.05,5
0,6.8,True,3.33,39,0.9949,0.34,13.9,134,0.26,0.53,12,0.034,6
0,5.8,False,3.28,36,0.9924,0.35,2.3,114,0.28,0.5,10.2,0.053,4
0,6.4,False,3.15,45,0.9972,0.5,11.6,153,0.21,0.43,8.8,0.042,5
0,7,False,3.21,38,0.9958,0.32,8.3,126,0.16,0.34,9.2,0.045,5
0,10.2,False,2.99,20,0.9968,0.88,6.2,124,0.44,0.51,9.9,0.049,4
0,6.8,False,3.32,15,0.9938,0.29,2.2,77,0.57,0.74,10.2,0.04,5
0,6.1,True,3.22,23,0.993,0.31,0.9,170,0.4,0.77,9.5,0.048,6
0,5.6,False,3.31,12,0.994,0.25,9.7,68,0.245,0.34,10.5,0.032,5
0,6.8,True,3.32,35,0.9918,0.38,1.4,111,0.18,0.59,11.2,0.038,7
0,7,False,3.21,38,0.9958,0.32,8.3,126,0.16,0.34,9.2,0.045,5
0,6.7,True,3.44,31,0.9944,0.29,5.3,122,0.13,0.37,9.7,0.051,6
0,6.2,True,3.3,35,0.9912,0.25,1.4,105,0.25,0.44,11.1,0.03,7
0,5.8,False,3.31,55,0.9961,0.24,9.2,152,0.26,0.38,9.4,0.044,5
0,7.5,False,3.03,45,0.9939,0.36,7,164,0.27,0.33,11,0.036,5
0,5.8,False,3.31,55,0.9961,0.24,9.2,152,0.26,0.38,9.4,0.044,5
0,5.7,False,3.31,60,0.9989,0.24,17.5,167,0.28,0.44,9.4,0.044,5
0,7.5,False,3.04,43,0.9938,0.36,7,161,0.23,0.32,11,0.036,5
0,7.5,False,3.03,45,0.9939,0.36,7,164,0.27,0.33,11,0.036,5
0,7.2,True,3,33,0.9971,0.21,9.5,172,0.685,0.55,9.1,0.07,6
0,6.2,True,3.3,35,0.9912,0.25,1.4,105,0.25,0.44,11.1,0.03,7
0,6.5,True,3.42,33,0.9936,0.3,0.8,144,0.19,0.39,9.1,0.043,6
0,6.3,True,3.39,31,0.9929,0.22,1.8,140,0.495,0.54,10.4,0.046,6
0,7.1,False,3.32,39,0.9998,0.41,17.8,145,0.24,0.39,8.7,0.046,5
0,6.4,True,3.5,41,0.9938,0.32,2.4,200,0.17,0.5,9.7,0.048,6
0,7.1,True,3.17,66,0.9969,0.32,10.3,272,0.25,0.52,9.1,0.041,6
0,6.4,True,3.5,41,0.9938,0.32,2.4,200,0.17,0.5,9.7,0.048,6
0,7.1,False,3.32,39,0.9998,0.41,17.8,145,0.24,0.39,8.7,0.046,5
0,6.8,False,3.37,26,0.9972,0.08,9.7,142,0.64,0.46,8.9,0.062,4
0,8.3,True,3.34,38,0.9976,0.4,7.8,194,0.28,0.51,9.6,0.041,6
0,8.2,True,3.31,49,0.9976,0.39,7.8,208,0.27,0.51,9.5,0.039,6
0,7.2,True,3.09,55,0.9979,0.38,14.3,194,0.23,0.44,9,0.058,6
0,7.2,True,3.09,55,0.9979,0.38,14.3,194,0.23,0.44,9,0.058,6
0,7.2,True,3.09,55,0.9979,0.38,14.3,194,0.23,0.44,9,0.058,6
0,7.2,True,3.09,55,0.9979,0.38,14.3,194,0.23,0.44,9,0.058,6
0,6.8,True,3.27,54,0.9972,0.32,13.2,221,0.52,0.5,9.6,0.044,6
0,7,True,3.34,40,0.9918,0.59,1.4,120,0.26,0.41,11.1,0.037,7
0,6.2,True,3.48,28,0.9982,0.21,15.55,159,0.25,0.64,9.6,0.039,6
0,7.3,False,3.2,49,0.9985,0.23,13.7,197,0.32,0.46,8.7,0.05,5
0,7.7,False,3.13,23,0.9944,0.26,7.8,90,0.31,0.5,10.4,0.031,5
0,7.1,True,3.15,23,0.9903,0.37,2.4,100,0.21,0.38,11.4,0.026,7
0,6.8,True,3.3,64.5,0.9934,0.34,2.7,218.5,0.24,0.58,9.7,0.047,6
0,6.9,False,3.14,40,0.9975,0.56,11.2,142,0.4,0.46,8.7,0.043,5
0,6.1,True,3.37,20,0.9923,0.36,2,249.5,0.18,0.79,11.3,0.038,6
0,6.8,True,3.16,26,0.99,0.27,2.1,139,0.21,0.61,12.6,0.03,7
0,5.8,True,3.25,12,0.9905,0.27,1.4,77,0.2,0.36,10.9,0.031,7
0,5.6,True,3.25,12,0.9905,0.26,1.4,76,0.19,0.37,10.9,0.03,7
0,6.1,False,3.38,18,0.996,0.14,10.4,119,0.41,0.45,10,0.037,5
0,5.9,False,3.72,40,0.9964,0.28,4.6,199,0.21,0.7,10,0.053,4
0,8.5,False,3.02,41,0.998,0.21,16.2,197,0.26,0.5,9.8,0.074,3
0,6.9,False,3.14,40,0.9975,0.56,11.2,142,0.4,0.46,8.7,0.043,5
0,5.8,False,3.53,5,0.9913,0.44,3.5,109,0.24,0.43,11.7,0.029,3
0,5.8,True,3.21,37,0.9932,0.39,1.5,158,0.24,0.52,9.3,0.054,6
0,6.7,True,3.32,45,0.9935,0.39,1.1,147,0.26,0.58,9.6,0.04,8
0,6.3,True,3.27,8,0.9927,0.3,5.7,97,0.35,0.41,11,0.035,7
0,6.3,True,3.27,8,0.9927,0.3,5.7,97,0.35,0.41,11,0.035,7
0,6.4,True,3.32,23,0.9912,0.39,1.8,118,0.23,0.5,11.8,0.032,6
0,5.8,False,3.28,3,0.9904,0.38,0.9,75,0.36,0.34,11.4,0.037,4
0,6.9,True,3.32,36,0.9939,0.35,5.4,108,0.115,0.42,10.2,0.048,6
0,6.9,False,2.93,36,0.9996,0.4,19.45,156,0.29,0.47,8.9,0.043,5
0,6.9,False,3.17,15,0.9944,0.4,8.2,95,0.28,0.33,10.2,0.036,5
0,7.2,True,3.08,66,0.9977,0.4,13.6,231,0.29,0.59,9.6,0.045,6
0,6.2,True,3.1,22,0.9912,0.35,1.2,167,0.24,0.48,10.6,0.038,6
0,6.9,False,2.93,36,0.9996,0.4,19.45,156,0.29,0.47,8.9,0.043,5
0,6.9,True,3.25,32,0.9965,0.26,8.3,180,0.32,0.51,9.2,0.053,6
0,5.3,False,3.34,34,0.9944,0.07,6.9,149,0.58,0.57,9.7,0.043,5
0,5.3,True,3.34,34,0.9945,0.07,7.1,145,0.585,0.57,9.7,0.044,6
0,5.4,True,3.34,36,0.9944,0.07,7,147,0.59,0.57,9.7,0.045,6
0,6.9,True,3.25,32,0.9965,0.26,8.3,180,0.32,0.51,9.2,0.053,6
0,5.2,False,3.33,33,0.9944,0.07,7,147,0.6,0.58,9.7,0.044,5
0,5.8,False,3.29,44,0.9972,0.26,13.1,148,0.25,0.38,9.3,0.051,5
0,6.6,False,3.24,30,0.9949,0.3,5.1,123,0.58,0.38,9,0.057,5
0,7,False,3.05,59,0.9966,0.54,10.7,234,0.29,0.61,9.5,0.046,5
0,6.6,True,3.14,51,0.9954,0.41,8.9,169,0.19,0.57,9.8,0.046,6
0,6.7,True,3.14,50,0.9954,0.41,9.1,166,0.2,0.58,9.8,0.044,6
0,7.7,False,2.89,9,0.9915,0.4,1.1,60,0.26,0.5,10.6,0.042,5
0,6.8,False,3.05,14,0.9919,0.34,1.2,67,0.32,0.47,10.6,0.044,4
0,7,True,3.26,17,0.9916,0.49,4.7,105,0.3,0.68,12.4,0.036,7
0,7,True,3.19,22,0.99,0.36,2.8,112,0.24,0.38,12.6,0.034,8
0,6.1,True,3.3,36,0.9909,0.58,5,114,0.31,0.6,12.3,0.039,8
0,6.8,False,3.08,46,0.9938,0.37,5.1,201,0.44,0.65,10.5,0.047,4
0,6.7,False,3.19,51,0.9982,0.3,15.6,196,0.34,0.49,9.3,0.054,5
0,7.1,False,3.12,46,0.9988,0.24,15.4,198,0.35,0.49,8.8,0.055,5
0,7.3,False,3.08,47,0.9961,0.25,7.2,180,0.32,0.47,8.8,0.056,5
0,6.5,True,3.22,51,0.9978,0.33,15.7,190,0.28,0.51,9.7,0.053,6
0,7.2,True,2.98,49,0.9979,0.39,14.2,192,0.23,0.48,9,0.058,7
0,7.2,True,2.98,49,0.9979,0.39,14.2,192,0.23,0.48,9,0.058,7
0,7.2,True,2.98,49,0.9979,0.39,14.2,192,0.23,0.48,9,0.058,7
0,7.2,True,2.98,49,0.9979,0.39,14.2,192,0.23,0.48,9,0.058,7
0,5.9,True,3.52,53,0.9945,0.31,5.8,155,0.15,0.46,10.5,0.041,6
0,7.4,False,2.96,53,1,0.42,19.8,195,0.28,0.44,9.1,0.066,5
0,6.2,True,3.44,26,0.9957,0.22,7.3,157,0.28,0.64,9.8,0.041,7
0,9.1,False,3.23,34,0.9968,0.38,1.6,182,0.59,0.38,8.5,0.066,3
0,6.3,True,3.37,34,0.9934,0.27,1.2,175,0.33,0.54,9.4,0.046,6
0,8.3,False,3.09,33,0.9976,0.7,10.6,169,0.39,0.57,9.4,0.045,5
0,7.2,True,3.19,82,0.9932,0.46,3.8,187,0.19,0.6,11.2,0.041,7
0,7.5,True,3.17,65,0.997,0.44,11.3,146,0.17,0.45,10,0.046,6
0,6.7,True,3.15,27,0.9923,0.5,2.1,122,0.17,0.45,10.3,0.043,6
